出表日期,公司代號,公司名稱,產業別,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額,私募股數,特別股,編制財務報表類型,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,網址
107/06/19,1213,大西洋飲料股份有限公司,食品工業,新北市三重區重陽路三段99號10樓,35012903,江國貴,孫幼英,楊克鳳,經理,洪松輝,(02)2982-0061,19650724,19810410,新台幣                 10.0000元,566226270,0,0,1,大西洋飲料股份有限公司,(02)2982-0061,新北市三重區重陽路三段99號10樓,資誠聯合會計師事務所,阮呂曼玉,徐聖忠,N,"10F,99,Sec.3,Chung Yang Road,San Chung City,Taipei Hsien,Taiwan,R.O.C.",(02)2984-1154,c5012903@ms23.hinet.net,http://www.applesidra.com.tw
107/06/19,1215,台灣卜蜂企業股份有限公司,食品工業,台北市松江路八十七號十七樓,36514783,鄭武樾,許瑞通,陳銘龍,特別助理,林明芳,02-25077071,19770822,19870727,新台幣                 10.0000元,2679909980,0,0,1,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段八十三號五樓,資誠聯合會計師事務所,林一帆,翁世榮,CPE,"17F., 87 Sung Chiang Road,Taipei, Taiwan 104",02-25064137,service@cptwn.com.tw,http://www.cptwn.com.tw
107/06/19,1216,統一企業股份有限公司,食品工業,71001台南市永康區中正路301號,73251209,羅智先,侯榮隆,蘇崇銘,副總經理,涂忠正,(06)253-2121,19670825,19871228,新台幣                 10.0000元,56820154210,0,0,1,統一綜合證券(股)公司股務代理部,(02)2746-3797,10570台北市松山區東興路8號統一大樓地下室一樓,資誠聯合會計師事務所,林姿妤,林永智,UNI-PRESIDENT,"No.301, Zhongzheng Rd., Yongkang Dist.,Tainan City 71001, Taiwan (R.O.C.)",(06)253-2661,jlian@mail.pec.com.tw,http://www.uni-president.com.tw
107/06/19,1217,愛之味股份有限公司,食品工業,嘉義縣民雄鄉工業二路11號,65534366,陳冠翰,陳志展,陳哲芳,董事,陳鏡仁 陳志展 蔡慧倫,05-2211521-4,19710626,19891028,新台幣                 10.0000元,4945133360,0,0,1,群益金鼎證券股份有限公司,02-27023999,台北市大安區敦化南路二段97號地下二樓,國富浩華聯合會計師事務所,蔡淑滿,李青霖,AGV,"NO.11,Kung Yeh Second Rd.,Min Hsiong Industrial ZoneChiayi Hsien,Taiwan",05-2216287,a11369@mail.agv.com.tw,www.agv.com.tw
107/06/19,1218,泰山企業股份有限公司,食品工業,彰化縣田中鎮興工路6號,59661701,詹逸宏,詹景超,林俐婉,副總經理,盧界煥,04-8742211,19501026,19891111,新台幣                 10.0000元,4999990380,0,0,1,元大證券股份有限公司,02-25865859,台北市承德路三段210號B1,安侯建業聯合會計師事務所,池世欽,陳嘉修,TAISUN,"No.6, Xinggong Rd., Tianzhong Township.Changhua County 520, Taiwan (R.O.C.)",04-8758989,taisun1@taisun.com.tw,www.taisun.com.tw
107/06/19,1219,福壽實業股份有限公司,食品工業,台中市沙鹿區沙田路45號,56192402,洪堯昆,洪堯昆,王四全,特助,戴清波,04-26362111,19550207,19901201,新台幣                 10.0000元,3220138870,0,0,1,凱基證券股份有限公司,02-23892999,100台北市重慶南路一段2號5樓,群智聯合會計師事務所,呂松裕,吳乾萌,FWUSOW,"45,Sha-Tyan,Sha-LuTaichung Taiwan R.O.C",04-26358452,fwusow@fwusow.com.tw,www.fwusow.com.tw
107/06/19,1220,台榮產業股份有限公司,食品工業,台北市中山區南京東路二段206號6樓,03543210,陳維讓,陳英凱,陳玉能,副總經理,黃棣楨,(02)2506-9521,19690313,19911120,新台幣                 10.0000元,1770779440,0,0,1,中國信託商業銀行代理部,(02)66365566,台北市重慶南路一段83號5樓,立本台灣聯合會計師事務所,柯俊輝,張鈞鈞,TAIROUN,"6TH FL. NO. 206.  NANKING E. RD., SEC. 2Taipei,Taiwan,ROC",(02)2507-7020,glen6572@tairoun.com.tw,http://www.tairoun.com.tw/
107/06/19,1225,福懋油脂股份有限公司,食品工業,台中市大肚區沙田路一段453號,22102298,晉昇投資有限公司(代表人：許忠明),許逸群,陳世章,協理,郭中儀,25073121,19860418,19930927,新台幣                 10.0000元,2187030510,0,0,1,群益金鼎證券股份有限公司,02-27023999,台北市敦化南路二段97號地下二樓,勤業眾信聯合會計師事務所,謝建新,陳招美,FOPCO,"3RD FL,150 NANKING EAST RD, SEC.2 TAIPEI TAIWAN R.O.CTAIPEI TAIWAN R.O.C.",(02)25071312,cherry.lin@fopco.com.tw,WWW.FOPCO.COM.TW
107/06/19,1227,佳格食品股份有限公司,食品工業,台北市仁愛路三段136號5樓,22102473,曹德風,YAO STEVEN YIH CHUN,曹德風,執行長,洪佳君,2709-2323,19860606,19940409,新台幣                 10.0000元,9150895910,0,0,1,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,許庭禎,龔則立,S.F.C,"5th Floor, Lotus Building,No.136, Jen Ai Road, Sec. 3,Taipei,Taiwan,R.O.C.",2706-7955,spokesperson1@sfworldwide.com,http://www.sfworldwide.com/
107/06/19,1229,聯華實業股份有限公司,食品工業,(103)臺北市大同區承德路一段44號6樓,11996904,苗豐強,景虎士,景虎士,總經理,李富源,(02)2786-1188,19550720,19760719,新台幣                 10.0000元,9564847110,0,0,1,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,楊柳鋒,郭柔蘭,LHIC,"6F., No.44, Sec. 1, Chengde Rd., Datong DistrictTAIPEI,TAIWAN,R.O.C",(02)2786-3232,info@lhic.com.tw,http://www.lhic.com.tw
107/06/19,1231,聯華食品工業股份有限公司,食品工業,台北市迪化街一段148號,07569627,李開源,林家齊,林志遠,財務處協理,陳姵岑,(02)25534546,19700707,19951102,新台幣                 10.0000元,1598858930,0,0,1,永豐金證券股份有限公司,(02)23816288,台北市博愛路17號3樓,勤業眾信聯合會計師事務所,張清福,柯志賢,Lian Hwa Foods,"148 TI HWA STREET SEC.1,Taipei,Taiwan,R.O.C",(02)25533479,tomlin@lianhwa.com.tw,www.lianhwa.com.tw
107/06/19,1232,大統益股份有限公司,食品工業,台南市官田區二鎮里工業西路32號,20927014,羅智先,陳昭良,陳昭良,總經理,劉信仁,06-698-4500,19820524,19960209,新台幣                 10.0000元,1599749150,0,0,1,統一綜合證券股份有限公司,02-2746-3797,台北市東興路8號地下一樓,資誠聯合會計師事務所,林姿妤,林永智,TTET,"32, Gongye West Road, Erzhen Village, Guantian District, Tainan City, TaiwanTAINAN CITY, TAIWAN",06-698-5530,finance@mail.ttet.com.tw,http://www.ttet.com.tw
107/06/19,1233,天仁茶業股份有限公司,食品工業,台北市忠孝東路4段107號6樓,18559415,李國麟,林仁宗,莊遠明,執行副總經理,王文嫻,02-27765580,19751211,19990120,新台幣                 10.0000元,905919480,0,0,1,元大證券股份有限公司,02-25865859,台北市承德路3段210號地下一樓,安永聯合會計師事務所,蕭翠慧,劉慧媛,Ten Ren,"6F. NO.107,SEC 4, Chung Hsiao East Road,Taipei, Taiwan, ROC",02-27403035,chafortea@tenren.com.tw,http://www.tenren.com.tw/
107/06/19,1234,黑松股份有限公司,食品工業,台北市信義路四段296號3樓,20651901,張斌堂,張斌堂,白錦文,副總經理,"蔡曜光,杜居燦",(02)2706-2191,19691213,19990312,新台幣                 10.0000元,4018710940,0,0,1,宏遠證券股份有限公司股務代理部,(02)7719-8899,台北市大安區信義路四段236號3樓,勤業眾信聯合會計師事務所,李麗凰,林宜慧,HEY-SONG,"3RD FL. NO. 296, SEC. 4, HSIN YI RD.TAIPEI, TAIWAN, R.O.C.",(02)2755-2119,heysong@heysong.com.tw,www.heysong.com.tw
107/06/19,1235,興泰實業股份有限公司,食品工業,高雄市仁武區高楠公路10號,85617982,吳金泉,吳金泉,葉文隆,法務處經理,秦慧如,07-3425301-5,19721115,20000911,新台幣                 10.0000元,606623370,0,0,1,國票綜合證券股份有限公司,02-25936666,10369台北市重慶北路3段199號4樓,廣信益群聯合會計師事務所,萬益東會計師,翁子霖會計師,ST,10 KAO-NANG HIGHWAYJEN-WUH KAOHSIUNG TAIWAN R.O.C.,07-3425694,shintai1235@seed.net.tw,www.shintai-feed.com.tw
107/06/19,1236,宏亞食品股份有限公司,食品工業,新北市新店區寶興路45巷8弄3號5樓,34106066,張豪城,張云綺,余彩雲,財務經理,張國振,(02)29180786,19760614,20010917,新台幣                 10.0000元,1083425100,0,0,1,群益金鼎證券股份有限公司,(02)2702-3999,台北市大安區敦化南路2段97號地下2樓,安永聯合會計師事務所,徐榮煌,張正道,Hunya,"3,Alley8,Lane45,Pao Hsin Rd;Hsin Tien,Taipei,Taiwan,R.O.C.",(02)29180706,hunya.com.tw,www.hunya.com.tw
107/06/19,1256,鮮活控股股份有限公司,食品工業,"P.O. BOX 10338,GRAND CAYMAN KY1-1003",37759808,黃國晃,黃國晃,吳明憲,董事,黃永霞,512-57515501,20100112,20160317,新台幣                 10.0000元,307656000,0,0,1,兆豐證券股份有限公司股務代理部,02-33930398,台北市忠孝東路二段95號1樓,勤業眾信聯合會計師事務所,蘇郁琇,李麗凰,Sunjuice,"P.O. BOX 10338,GRAND CAYMAN KY1-1003Grand Cayman KY1-1003,Cayman Islands",512-57515503,XH@sunjuice.com.cn,http://www.myfreshjuice.com
107/06/19,1262,綠悅控股有限公司,其他,臺北市松仁路89號5樓B室,38490560,王哲夫,王哲夫,蔡如雅,總經理特助,劉桂珍,0287890603,20130117,20140116,新台幣                 10.0000元,1633500000,0,0,1,凱基證券股份有限公司股務代理部,02-2389-2999,台北市重慶南路一段2號5樓,勤業眾信聯合會計師事務所,江明南,施景彬,Green Seal,"Room B, 5F, 89 Songren Road, Xinyi DistrictTaipei City, Taiwan",0287890623,bonnie.tsai@greenseal-group.com,www.greenseal-group.com
107/06/19,1301,台灣塑膠工業股份有限公司,塑膠工業,高雄市仁武區水管路100號,75708007,林健男,林健男,林勝冠,資深副總經理,張嘉澤,(02)2712-2211,19541105,19640727,新台幣                 10.0000元,63657407810,0,0,1,本公司股務組,(02)2718-9898,台北市敦化北路201號後棟1樓,安侯建業聯合會計師事務所,寇惠植,于紀隆,FPC,"4F, 201, Tung Hwa North RoadTaipei, Taiwan, R.O.C.",(02)2717-8108,formosa@fpc.com.tw,http://www.fpc.com.tw
107/06/19,1303,南亞塑膠工業股份有限公司,塑膠工業,台北市敦化北路201號,75370905,吳嘉昭,鄒明仁,吳嘉昭,董事長,葉明忠,(02)27122211,19580822,19671105,新台幣                 10.0000元,79308215890,0,0,1,本公司股務組,(02)27189898,台北市敦化北路201號後棟一樓,安侯建業聯合會計師事務所,郭欣頤,于紀隆,NPC,"201, TUNG HWA NORTH ROADTAIPEI TAIWAN, REPUBLIC OF CHINA",(02)27178533,nanya@npc.com.tw,http://www.npc.com.tw
107/06/19,1304,台灣聚合化學品股份有限公司,塑膠工業,台北市內湖區基湖路37號12樓,11917107,吳亦圭,王克舜,吳銘宗,業務處協理,甘霖,02-87516888,19650526,19720520,新台幣                 10.0000元,11654544120,0,0,1,本公司股務部,02-26503773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,郭慈容,吳世宗,USI,"12TH FLOOR, NO. 37 JI-HU ROAD, NEI-HU DISTRICTTAIPEI 114, TAIWAN, R.O.C.",02-26599524,mtwu@csl.usife.com.tw,www.usife.com.tw
107/06/19,1305,華夏海灣塑膠股份有限公司,塑膠工業,台北市內湖區基湖路37號12樓,11686106,吳亦圭,林漢福,胡吉宏,副總經理,劉傳源,(02)8751-6888,19640429,19730305,新台幣                 10.0000元,4919995600,0,0,1,本公司股務部,(02)2650-3773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,吳世宗,郭慈容,CGPC,"12th Floor , NO.37 , Ji-Hu Rd. Nei-Hu DistrictTaipei, Taiwan, R.O.C.",(02)2659-9553,cgpcstkqa@cgpc.com.tw,http://www.cgpc.com.tw
107/06/19,1307,三芳化學工業股份有限公司,塑膠工業,高雄市三民區通化街120號,83387850,林孟經,蔡光爵,林信宏,副總經理,陳偉鉅,(07)3712111,19730616,19851123,新台幣                 10.0000元,3978181260,0,0,1,中國信託代理部,(02)6636-5566,台北市重慶南路一段83號5樓,勤業眾信會計師事務所,吳秋燕,陳珍麗,SAN FANG,"402 FENGJEN RD.,JENWU SHIANG,KAOSHIUNG,TAIWAN",(07)3711940,service@sanfang.com.tw,http://www.sanfang.com.tw
107/06/19,1308,亞洲聚合股份有限公司,塑膠工業,高雄市林園區工業一路3號,20747385,吳亦圭,李國弘,曾經緯,業務經理,陳政順,(02)8751-6888,19770125,19860620,新台幣                 10.0000元,5181147150,0,0,1,亞洲聚合股份有限公司股務部,(02)2650-3773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,黃秀椿,吳世宗,APC,"NO.3,INDUSTRIAL 1ST RD., LINYUAN DIST.,KAOHSIUNG, TAIWAN, 832 ROC",(02)2659-9553,SamsonTseng@apc.com.tw,HTTP://WWW.apc.com.tw
107/06/19,1309,台達化學工業股份有限公司,塑膠工業,台北市內湖區基湖路37號12樓,11893409,吳亦圭,吳培基,顏太明,副總經理,林金才,(02)8751-6888,19600406,19860627,新台幣                 10.0000元,3276518550,0,0,1,台達化學工業股份有限公司股務部,(02)2650-3773,台北市內湖區內湖路一段120巷17號6樓,勤業眾信聯合會計師事務所,吳世宗,郭慈容,TTC,"12th Floor, No.37, Ji-Hu Rd.,Taipei 114,Taiwan,R.O.C.",(02)2659-9504,tmyen@ttc.com.tw,http://www.ttc.com.tw
107/06/19,1310,台灣苯乙烯工業股份有限公司,塑膠工業,台北市羅斯福路一段六號八樓之一,20844865,吳怡青,吳清典,仲崇國,業務副總經理,周子聖,02-23966007,19791116,19870806,新台幣                 10.0000元,5278697640,0,0,1,元大證券(股)公司股務代理部,02-2586-5859,台北市承德路三段210號地下一樓,正風聯合會計師事務所,周銀來,吳欣亮,T.S.M.C.,"8th-1 F1.,6,Roosevelt.Sec.1,Taiwan,Taiwan,R.O.C.",23960755,acc@mail.smct.com.tw,www.smct.com.tw
107/06/19,1312,國喬石油化學股份有限公司,塑膠工業,臺北市南京東路四段1號10樓,04212250,楊品正,曾嘉雄,陳景福,財務部經理,周振銘,(02)8770-4567,19730925,19881221,新台幣                 10.0000元,9266203280,0,20000000,1,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5 樓,國富浩華聯合會計師事務所,蕭英嘉,王戊昌,GPPC,"10FL,No.1 SEC.4 NAN-JING E. ROADTAIPEI, TAIWAN  R.O.C.",(02)2545-8755,gppc@gppc.com.tw,http://www.gppc.com.tw
107/06/19,1313,聯成化學科技股份有限公司,塑膠工業,台北市南港區南港路一段209號A棟9樓,04748660,苗豐強,柯衣紹,吳盛銓,副總經理,王家君,(02)26517889,19760814,19890327,新台幣                 10.0000元,11995570640,0,0,1,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5F,勤業眾信會計師事務所,郭文吉,李振銘,UPC,"9F., Building A, No. 209 NanGang Rd., Sec. 1, NanGang Dist., Taipei, 115,Taiwan, R.O.C",(02)26515818,ir@upc.com.tw,http://www.upc.com.tw
107/06/19,1314,中國石油化學工業開發(股)公司,塑膠工業,高雄市大社區經建路1號,03084741,林克銘,余建松,陳穎俊,協理,黃國材,07-3513521,19690708,19910712,新台幣                 10.0000元,26998572670,0,0,1,本公司股務室,02-89782589,台北市松山區東興路12號3樓,安侯建業會計師事務所,陳眉芳,鍾丹丹,CPDC,"No. 1 Chinchian Road, Dashe HsiangKaohsiung, Taiwan, R. O. C.",07-3513642,list1314@ms.tse.com.tw,www.cpdc.com.tw
107/06/19,1315,達新工業股份有限公司,塑膠工業,台中市西屯區工業區35路51號,51059101,吳子聰,黃俊嘉,賴耿民,董事兼財務主管,陳昕晟,04-23595511,19661024,19920509,新台幣                 10.0000元,1980000000,0,0,1,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,國富浩華聯合會計師事務所,王戊昌,張福郎,TAH HSIN,"NO.51, 35TH RD.,TAICHUNG INDUSTRIAL PARK ,TAICHUNG ,TAIWAN, R.O.C",04-23598532,thst@mail.tahhsin.com.tw,www.tahhsin.com.tw
107/06/19,1316,上曜建設開發股份有限公司,化學工業,台南市安平區永華路二段248號20樓之6,73654033,張祐銘,張祐銘,郭育政,財務部協理,朱麗娟,(06)2988318,19791211,19921015,新台幣                 10.0000元,1284507210,47320000,0,1,元大證券股份有限公司,(02)2586-5859,台北市大同區承德路三段210號地下一樓,安侯建業聯合會計師事務所,陳國宗,陳惠媛,SUN  YAD,"20F.-6, No.248, Sec. 2, Yonghua RdAnping Dist., Tainan City 708, Taiwan",(06)2988311,fina@sunyad.com.tw,www.sunyad.com.tw
107/06/19,1319,東陽實業廠股份有限公司,塑膠工業,台南市安和路二段98號,68326665,吳永豐,吳永祥,許芳華,協理,洪智慧,06-3560511,19671030,19941212,新台幣                 10.0000元,5914770680,0,0,1,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5F,安永聯合會計師事務所,胡子仁,黃世杰,OTN,"98 AN HO ROAD.,SEC,2TAINAN,TAIWAN,R,O,C",06-3566055,15469@tyg.com.tw,WWW.TYG.COM.TW
107/06/19,1321,大洋塑膠工業股份有限公司,塑膠工業,"台北市莒光路310號5,6樓",15024509,陳欽明,陳欽明,王逸鶴,經理,邱俊福,(02)23062131,19650607,19990126,新台幣                 10.0000元,2272282680,0,0,1,凱基證券(股)公司股務代理部,(02)23148800,台北市重慶南路一段2號5樓,安侯建業聯合會計師事務所,李慈慧,余聖河,OPC,"5F,310 CHUKWANG ROADTAIPEI,TAIWAN,R.O.C",(02)23027464,andy@opc.com.tw,www.opc.com.tw
107/06/19,1323,永裕塑膠工業股份有限公司,塑膠工業,台南市仁德區勝利路88號,68192103,王威程,王威程,郭錦添,副總經理,蔡崇誠,06-2793711,19730402,20000911,新台幣                 10.0000元,912745540,0,0,1,凱基證券股份有限公司,02-23892999,台北市重慶南路一段2號5樓,資誠聯合會計師事務所,劉子猛,林姿妤,YONYU,"88 SHENG LI ROAD,RENDE  DISTRICT,TAINAN,TAIWANTainan ,Taiwan",06-7026577,kct3232@yonyu.com.tw,www.yonyu.com.tw
107/06/19,1324,地球綜合工業股份有限公司,塑膠工業,台北市中山區南京東路3段61號7樓,07147916,張德照,黃林慶,張雅琪,財務部部長,曾嬿妤,(02)2506-6666,19641208,20000911,新台幣                 10.0000元,751218820,0,0,1,永豐金證券股份有限公司,02-23816288,台北市中正區博愛路17號3樓,安永聯合會計師事務所,林麗凰,徐榮煌,GLOBE TAPE,"7F.NO.61.SECTION 3,NANKING E ROADTAIPEI TAIWAN R.O.C.",(02)2507-0226,info@globetape.com.tw,http://www.globetape.com.tw
107/06/19,1325,恒大股份有限公司,塑膠工業,台北市林森北路372號10樓,11455800,黃美慧,黃美慧,周壽祿,總經理室協理,廖淑姬,(02)25119161,19621014,20000911,新台幣                 10.0000元,852811980,0,0,1,中國信託商業銀行代理部,(02)66365566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,姚勝雄,張淳儀,UK,"10F, 372, LIN SHEN N. ROADTAIPEI, TAIWAN, R.O.C.",(02)25374473,uk4409@ms34.hinet.net,無
107/06/19,1326,台灣化學纖維股份有限公司,塑膠工業,彰化市中山路3段359號,58650902,王文淵,呂文進,洪福源,副董事長,黃棟騰,(02)27122211,19650305,19841220,新台幣                 10.0000元,58611862910,0,0,1,台灣化學纖維股份有限公司股務室,(02)27189898,台北市敦化北路201號台塑大樓後棟1樓,資誠聯合會計師事務所,周建宏,吳漢期,FCFC,"2F, 201, Tung Hwa North RoadTaipei, Taiwan, R.O.C",(02)27133229,sjhsu.egr@fcfc.com.tw,http://www.fcfc.com.tw
107/06/19,1337,亞洲塑膠再生資源控股有限公司,塑膠工業,高雄市鼓山區明誠三路685號12樓,26068617,丁金造,丁志猛,薛又瑋,董事長特助,丁華雄,(07)5524591,20100108,20110817,新台幣                 10.0000元,2677761080,0,0,1,元大證券股份有限公司股務代理部,(02)2586-5859,台北市承德路三段210號地下一樓,勤業眾信聯合會計師事務所,許瑞軒,江佳玲,Asia Plastic,"12F., No.685, Mingcheng 3rd Rd.Gushan Dist., Kaohsiung City 804, Taiwan",(07)5524591,markuhsueh@sansd.cn,http://asia-recycle.com
107/06/19,1338,廣華控股有限公司,汽車工業,廣東省東莞市厚街鎮橋頭第三工業區,26594386,余澤民,黃建中,黃盛昌,財務長,黃建中,0769-89278888,20091208,20121219,新台幣                 10.0000元,838400000,0,0,1,兆豐證券股份有限公司股務代理部,02-33930898,台北市忠孝東路二段95號3樓,安侯建業聯合會計師事務所,江忠儀,連淑凌,Hiroca,"3rd Industrial Zone, Qiaotou, Houjie TownDongguan City, Guangdong Province, PRC",0769-85903818,hiroca@hirosawa.com.cn,www.hirosawa.com.cn
107/06/19,1339,昭輝實業股份有限公司,塑膠工業,彰化縣鹿港鎮興業路8號,22078327,林詩芸,林宜宏,劉淑梅,副總經理,王淑慧,(04)7810781,19860307,20120424,新台幣                 10.0000元,741388750,0,0,1,統一綜合證券股份有限公司,02-27463797,台北市松山區東興路八號地下一樓,勤業眾信聯合會計師事務所,吳麗冬,曾棟鋆,Y.C.C.,"8, Xingye Rd., Lukang TownChung Hua Hsien, Taiwan ., R.O.C.",(04)7813209,ycc888@yccco.com.tw,http://www.yccco.com.tw
107/06/19,1340,勝悅新材料有限公司,塑膠工業,中國福建省晉江市青陽蓮嶼工業區,37722768,莊國清,莊國清,陳圖炎,財務長,郭燈佳,8659582889862,20120614,20140114,新台幣                 10.0000元,1263825240,0,0,1,永豐金證券公司股務代理部,(02)2381-6288,台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,葉淑娟,吳恪昌,VICTORY,"Qingyang Lianyu Industrial AreaJinjiang, Fujian, China",8659585689208,peter.chen@sportspowersole.com,www.vnm.com.tw
